dimers,r_e,D_e,uncertainty,E_SO
Sc-H,1.7754,50,4,-0.33
Ti-H,1.777,47.4,1.4,-0.19
V-H,1.73,56.1,1.5,-0.4
Cr-H,1.6554,51.1,1.6,0
Mn-H,1.7309,41.1,1.4,0
Fe-H,1.606,44.8,1.5,-0.02
Co-H,1.5327,54.6,1.5,-0.22
Ni-H,1.4538,59.2,1.9,-1.09
Cu-H,1.4626,63.1,4.8,0
Zn-H,1.5935,21.9,0.2,0
Ti-Cl,2.2697,101,2,-0.88
V-Cl,2.2145,102.5,2,-1.21
Cr-Cl,2.194,90.6,1.3,-0.76
Mn-Cl,2.2352,80.4,1.3,-0.76
Fe-Cl,2.1742,79.9,1.3,-0.6
Co-Cl,2.0656,81.9,1.3,-1.01
Ni-Cl,2.0615,88.7,1.3,-3
Cu-Cl,2.0512,90.2,1,-0.76
Zn-Cl,2.13,54.1,1,-0.76
Sc-O,1.6661,161,0.2,-0.55
Ti-O,1.6203,159.9,1.6,-0.57
V-O,1.5893,150.9,2,-1.17
Cr-O,1.615,104.8,1.4,0.1
Mn-O,1.6446,89.3,1.8,-0.22
Fe-O,1.6164,97.6,0.2,-0.17
Co-O,1.6286,95.3,2.1,-0.94
Ni-O,1.6271,90.3,0.7,-3.1
Cu-O,1.7246,71,0.7,0.1
Zn-O,1.7047,38.2,0.9,-0.22
Sc-Sc,2.7,11,0,0
Ti-Ti,1.9422,36.09,4.15,0
V-V,1.766,64.25,0,-1.82
Cr-Cr,1.6788,35.98,1.38,0
Mn-Mn,3.4,3,2.31,0
Fe-Fe,2.02,18.22,0,0
Co-Co,2.13,39.39,6,0
Ni-Ni,2.154,47.6,0.2,-5.56
Cu-Cu,2.2193,47.92,0.57,0
Zn-Zn,4.8,0.78,0.0001,0
Sc-H+,,57.68,2.31,0.05
Ti-H+,,57.58,2.31,0.07
V-H+ ,,50.3,2.08,0.07
Cr-H+,,34.12,2.08,0.05
Mn-H+,,50.06,3.46,0.1
Fe-H+,,51.51,1.38,0.19
Co-H+,,48.3,1.38,0.07
Ni-H+,,41.46,1.84,-0.53
Cu-H+,,31.48,0,0.6
Zn-H+,,60.76,0,0.14